
NUM_ACTIONS:20,TIME_TAKEN:14.327,PI:3.13844,CPU:0.08783
NUM_ACTIONS:30,TIME_TAKEN:24.84,PI:3.14544,CPU:0.122124
NUM_ACTIONS:40,TIME_TAKEN:26.531,PI:3.1302,CPU:0.150908
NUM_ACTIONS:50,TIME_TAKEN:29.663,PI:3.13912,CPU:0.181285
NUM_ACTIONS:60,TIME_TAKEN:23.128,PI:3.13624,CPU:0.234072
NUM_ACTIONS:70,TIME_TAKEN:23.983,PI:3.13408,CPU:0.252734
NUM_ACTIONS:80,TIME_TAKEN:27.043,PI:3.13892,CPU:0.268217
NUM_ACTIONS:90,TIME_TAKEN:24.552,PI:3.14308,CPU:0.298763
NUM_ACTIONS:100,TIME_TAKEN:19.431,PI:3.1428,CPU:0.352821
NUM_ACTIONS:150,TIME_TAKEN:28.971,PI:3.13972,CPU:0.545401
NUM_ACTIONS:200,TIME_TAKEN:22.826,PI:3.13608,CPU:0.802406
NUM_ACTIONS:250,TIME_TAKEN:22.759,PI:3.135,CPU:0.988475
NUM_ACTIONS:300,TIME_TAKEN:28.789,PI:3.13204,CPU:1.172236
